remoteId,published,modified,Titolo,"Titolo breve",Immagine,Descrizione,"Locandina dell'evento",Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,"Tipologia evento","Manifestazione cui fa parte",Associazione,Progressivo,Sottotitolo,Orario,lat,lon,address,Fonte
76c0ceae699afa12aab533af0810c1cf,2016-08-10T10:22:22+02:00,2016-08-10T10:22:22+02:00,"TEATRO TENDA CLOZ 2016",,/var/cloz/storage/images/territorio/eventi-e-manifestazioni2/teatro-tenda-cloz-2016/55940-1-ita-IT/TEATRO-TENDA-CLOZ-2016.jpg,"PRESSO ZONA SPORTIVA DI CLOZ - LOCALITA' PALU' CLOZEvento garantito anche in caso di maltempo.Fornito servizio bar e cucina con BIRRA HB TRAUNSTEIN Un evento della PRO LOCO DI CLOZ",,2016-08-27T21:00:00+02:00,2016-08-28T23:59:00+02:00,,,,,,,,,,,"Evento singolo",,,,,,0,0,,
edca4d2dedaed2c7726024bd34e5b90b,2016-08-10T10:10:45+02:00,2016-08-11T11:14:13+02:00,"Festa in malga 2016",,/var/cloz/storage/images/territorio/eventi-e-manifestazioni2/festa-in-malga-2016/55915-1-ita-IT/FESTA-IN-MALGA-2016.jpg,"organizzata dagli Alpini di Cloz presso la Malga di Cloz",,2016-08-21T09:00:00+02:00,2016-08-21T23:00:00+02:00,,,,,,,,,,,"Evento singolo",,,,,,0,0,,
82b3887b09794087b7b932a5a2fee55c,2016-08-09T10:58:35+02:00,2016-08-11T11:07:26+02:00,"Sagra della Madonna d'Agost 2016",,/var/cloz/storage/images/territorio/eventi-e-manifestazioni2/sagra-della-madonna-d-agost-2016/55776-3-ita-IT/Sagra-della-Madonna-d-Agost-2016.jpg,"
VI ASPETTIAMO NUMEROSI!!!
Anche quest'anno siamo pronti a festeggiare! 
Con i coscritti del 1997, le associazioni di Cloz e ovviamente con voi ! 
Tanta musica, piatti tipici da gustare e ... 
14-15 Agosto, Sagra della Madonna Assunta - Cloz, vi aspettiamo!!!
Programma:
GIOVEDI' 11 AGOSTO
20.45 
Padre Beniamino Franch
&quot,Storie di emigrazione&quot, con Padre Holzer
_________________________ ______________________________SABATO 13 AGOSTO
ore 20.00 - Messa in S.Maria
ore 20.45 - Concerto con il coro &quot,La compagnia del canto&quot,
________________________________________________________DOMENICA 14 AGOSTO:
16.00 Partita scapoli - ammogliati al campo sportivo
19.00 Cena con tortei di patate e trippe nei portoni
20.00 S.Rosario
21.00 Musica con &quot,Arianna Ferrari&quot,
________________________________________________________LUNEDI' 15 AGOSTO:
8.00 Primo trofeo &quot,La Noela&quot, presso il parco fluviale
11.00 Santa messa nella chiesa di Santa Maria
12.00 Pranzo nei portoni
14.00 Premazione gara &quot,La Noela&quot,
14.30 Visita alla cantina &quot,Rizzi Valerio&quot,
  Giochi per i più piccoli
16.00 Palio dei dopli
19.00 Cena con frittura di pesce, trippe e grigliata di carne
20.00 Funzione Mariana con processione dei coscritti del '97
accompagnata dal corpo bandistico &quot,Terza Sponda&quot,21.00 Musica in piazza",,2016-08-14T08:00:00+02:00,2016-08-15T23:00:00+02:00,,,Cloz,,,,,,,,"Evento singolo",,,,,,0,0,,
1e344db2c096897df91a6c636cca2954,2016-07-26T14:30:28+02:00,2016-07-26T14:30:28+02:00,"Da sussistenza ad industria: l’agricoltura in valle di Non nel secolo delle grandi trasformazioni",,/var/cloz/storage/images/territorio/eventi-e-manifestazioni2/da-sussistenza-ad-industria-l-agricoltura-in-valle-di-non-nel-secolo-delle-grandi-trasformazioni/54605-1-ita-IT/Da-sussistenza-ad-industria-l-agricoltura-in-valle-di-Non-nel-secolo-delle-grandi-trasformazioni.png,"
27 luglio | CLOZ sala polifunzionale Incontri ore 20.30
Da sussistenza ad industria: l’agricoltura in valle di Non nel secolo delle grandi trasformazioniprof. Luciano Pilati – Università di Trento",,2016-07-27T20:30:00+02:00,2016-07-27T23:59:00+02:00,,,"Sala Incontri",,,,,,,,"Evento singolo",,,,,,0,0,,
c2e00465d582c2822bdda90274a844c8,2016-07-26T14:15:17+02:00,2016-07-26T14:15:17+02:00,"ESTATE RAGAZZI CLOZ",,,"L'amministrazione comunale di Cloz organizza l'estate ragazzi, una settimana di svago dedica a tutti i bambini.",,2016-08-01T00:13:00+02:00,2016-08-05T18:00:00+02:00,"Tutta la settimana","1° settimana di agosto",,,,,,,,,Manifestazione,,,,,,0,0,,
96379553013c17d3b31334b2941dbcc1,2016-07-26T14:12:35+02:00,2016-07-26T14:15:57+02:00,"INGRESSO LIBERO PISCINA MALE'",,,"Venerdì 5 agosto 2016, per tutta la giornata, i residente del comune di Cloz, potranno accedere gratuitamente alla piscina di Malè.",,2016-08-05T00:11:00+02:00,2016-08-05T18:00:00+02:00,"1 giorno","Venerd' 5 agosto","Piscina di Malè",,,,,,,,"Evento singolo",,,,,,0,0,,
3fa3a0ea2a187c966135c88ea3c9518c,2016-07-07T08:22:16+02:00,2016-08-11T11:13:01+02:00,"Partita scapoli ammogliati","Partita scapoli ammogliati",/var/cloz/storage/images/territorio/eventi-e-manifestazioni2/partita-scapoli-ammogliati/53262-1-ita-IT/PARTITA-SCAPOLI-AMMOGLIATI.jpg,"In occasione della Madonna D'Agost si organizza la classicissima partita tra Scapoli ed Ammogliati.Durante il pomeriggio di domenica 14 agosto 2016, presso il campo sportivo Plan Palù.",,2016-08-14T12:00:00+02:00,2016-08-14T23:00:00+02:00,"finchè si resta in piedi","Domenica 14 agosto","Plan Palù",,,,,,,,"Evento singolo",,,,,,0,0,,
5352d05f632fb887ef7891dd537ac852,2016-07-05T09:41:46+02:00,2016-07-05T09:44:08+02:00,"Trentino In Jazz - Pino Ninfa & Enrico Merlin",,/var/cloz/storage/images/territorio/eventi-e-manifestazioni2/trentino-in-jazz-pino-ninfa-enrico-merlin/53099-1-ita-IT/Trentino-In-Jazz-Pino-Ninfa-Enrico-Merlin.jpg,"
Presso la Sala incontri di Cloz, venerdi 22 luglio alla ore 21.00Pino Ninfa &amp, Enrico MerlinSul filo della memoria. Alla ricerca di tracce da seguire fuori e dentro di noi performance multimediale.Pino Ninfa fotografo, videoproiezioni/ Enrico Merlin chitarre, live electronics, un viaggio per esplorare luoghi dismessi o abbandonati, per raccoglierne attraverso il linguaggio della fotografia passaggi e passaggi di tempo.Cliica qui per il sito internet di Trentino In Jazz - Valli del Noce.",,2016-07-22T21:00:00+02:00,2016-07-22T23:00:00+02:00,"2 ore",,"Sala Incontri",,,,,,,,"Evento singolo",,,,,,0,0,,
236f8435ff1e2feb16fabd04318e20f7,2016-07-01T18:21:00+02:00,2016-07-01T18:21:00+02:00,"SPETTACOLO TEATRALE RE LEAR",,,"Martedì 5 luglio ore 21.00, presso la gradinata della scuola materna di Cloz si terrà lo spettacolo teatrale il &quot,Re Lear&quot,.",,2016-07-05T20:30:00+02:00,2016-07-05T23:00:00+02:00,,,"GRADINATA DELLA SCUOLA MATERNA",,,,,,,,"Evento singolo",,,,,,0,0,,
985d12d634ead426f470571f0163d28e,2016-05-18T15:08:40+02:00,2016-05-18T15:08:40+02:00,"La riforma istituzionale: coinvolgimento del volontariato nel processo di fusione",,,"Mercoledì 18 maggio alle 20:30 a Romallo, presso il Municipio - Sala San Vitale, discutiamo la proposta di fusione dei comuni in un incontro rivolto alle associazioni di volontariato.Partecipano i sindaci dei cinque Comuni.",,2016-05-18T15:07:00+02:00,2016-05-18T23:30:00+02:00,,,,,,,,,,,"Evento singolo",,,,,,0,0,,
36708d8a4346ad27d7f8f75947b19642,2016-04-01T15:49:43+02:00,2016-04-01T15:49:43+02:00,"INCONTRO CON LA CITTADINANZA - LA RIFORMA ISTITUZIONALE IN TRENTINO",,,"Martedì 10 maggio ore 20.30 - Revò presso Auditorium Scuole Medie",,2016-05-10T20:30:00+02:00,2016-05-10T23:59:00+02:00,,,,,,,,,,,"Evento singolo","REFERENDUM CONSULTIVO SULLA FUSIONE",,,,,0,0,,
fe8cc6adb07fda1522ba02a8581a0efa,2016-04-01T15:44:10+02:00,2016-04-01T15:46:11+02:00,"INCONTRO CON LA CITTADINANZA - LA RIFORMA ISTITUZIONALE IN TRENTINO ",,,"Brez - ore 20.30 Sala San GiovanniRelatore dott. Paride Gianmoena Presidente del Consorzio dei Comuni Trentini",,2016-05-04T20:30:00+02:00,2016-05-04T23:59:00+02:00,,,,,,,,,,,"Evento singolo","REFERENDUM CONSULTIVO SULLA FUSIONE",,,,,0,0,,
071591eb03d99e033aeeacc6ffdddd4e,2016-04-01T15:07:27+02:00,2016-04-07T06:23:04+02:00,"REFERENDUM CONSULTIVO SULLA FUSIONE",,,"Domenica 22 maggio 2016 dalle ore 8 alle 21 si terrà il Referendum consultivo per l'espressione del parere dei cittadini sulla fusione dei Comuni.",,2016-05-22T07:00:00+02:00,2016-05-22T21:00:00+02:00,,,,,,,,,,,Manifestazione,"REFERENDUM CONSULTIVO SULLA FUSIONE",,,,,0,0,,
f871010aeae005a326dab2161e5f97ed,2016-04-01T15:06:03+02:00,2016-04-01T15:40:39+02:00,"LA RIFORMA ISTITUZIONALE IN TRENTINO - COINVOLGIMENTO DEL MONDO AGRICOLO NEL PROCESSO DI FUSIONE",,,"Mercoledì 27 aprile ore 20.30 - Revò presso Auditorium scuole medieRelazione dell'Assessorato all'agricltura, foreste e turismo e promozione, caccia e pesca e Andrea Berrti Direttore Codipra",,2016-04-27T20:30:00+02:00,2016-04-27T23:59:00+02:00,,,,,,,,,,,"Evento singolo","REFERENDUM CONSULTIVO SULLA FUSIONE",,,,,0,0,,
47029cebce6c3bc2c6905ae72602c0bd,2016-03-31T08:42:22+02:00,2016-04-01T15:39:37+02:00,"INCONTRO CON LA CITTADINANZA - LA RIFORMA ISTITUZIONALE IN TRENTINO",,,"Mercoledì 20 aprile ore 20.30 - Cloz presso Sala IncontriRelatore Assessore Provinciale Carlo Daldoss",,2016-04-20T20:30:00+02:00,2016-04-20T23:59:00+02:00,,,,,,,,,,,"Evento singolo","REFERENDUM CONSULTIVO SULLA FUSIONE",,,,,0,0,,
d51d2ad1cc56ff63a481fea3b461846f,2016-03-31T08:39:48+02:00,2016-04-01T15:36:31+02:00,"INCONTRO CON LA CITTADINANZA - LA RIFORMA ISTITUZIONALE IN TRENTINO",,,"Mercoledì 13 aprile ore 20.30 - Cagnò presso Municipio sala pubblica.Relatore dott. Alessandro Ceschi Direttore del Consorzio dei Comuni Trentini",,2016-04-13T20:30:00+02:00,2016-04-13T23:59:00+02:00,,,,,,,,,,,"Evento singolo","REFERENDUM CONSULTIVO SULLA FUSIONE",,,,,0,0,,
